record_id,species_group,species,category,disease,aliases,cause,signs,diagnosis,treatment_raw,prevention,red_flags,zoonotic,emergency,clinical_review_status,clinical_review_notes,source_type
VD-001,Livestock,Cattle,Infectious,Hemorrhagic Septicemia,HS,Pasteurella multocida,Sudden death | high fever 104-107°F | salivation | neck/throat swelling | dyspnea | blood-tinged nasal discharge,History | clinical signs | blood smear | culture,Penicillin + streptomycin; sulfadiazine IV; supportive fluids and antipyretic,HS vaccination (notes state March & September),Sudden death | severe dyspnea | rapidly progressive neck swelling,No,Yes,Needs veterinary validation,Vet review required before clinical deployment,User-provided educational notes
VD-002,Livestock,Cattle,Infectious,Black Quarter,BQ; Blackleg,Clostridium chauvoei,Sudden lameness | hot painful muscle swelling | crepitation | gas | depression | death in 12-24 h,Clinical signs | swollen muscle | gas | smear,High-dose penicillin + antitoxin; surgical debridement; prognosis may be poor,BQ vaccination,Rapid swelling with gas | systemic collapse,No,Yes,Needs veterinary validation,Vet review required before clinical deployment,User-provided educational notes
VD-003,Livestock,Cattle,Infectious,Foot and Mouth Disease,FMD,FMD virus,Fever | salivation | vesicles in mouth/tongue/feet | lameness | drop in milk | smacking lips,Clinical signs | vesicular fluid | ELISA,No specific antiviral; symptomatic care; antiseptic mouth care; soft feed; foot care; antibiotics only for secondary bacterial infection,FMD vaccination every 6 months (per notes),Vesicular disease | herd outbreak | severe lameness,No,Yes,Needs veterinary validation,Regulatory/reportable-disease handling and local veterinary authority guidance must be added before deployment.,User-provided educational notes
VD-004,Livestock,Cattle,Infectious,Mastitis,,Staphylococcus aureus; Streptococcus spp.; Escherichia coli,Hot painful swollen udder | abnormal milk with clots/watery/blood | fever,California Mastitis Test (CMT) | milk culture | somatic cell count (SCC),Intramammary antibiotics + systemic antibiotics when indicated + anti-inflammatory therapy + frequent milking,Milking hygiene | teat dip | dry-cow therapy,Toxic mastitis | severe dehydration | recumbency,No,Yes,Needs veterinary validation,"Antibiotic choice, dose, route and milk-withdrawal period require veterinarian/culture-based validation.",User-provided educational notes
VD-005,Livestock,Cattle,Infectious,Brucellosis,,Brucella abortus,Late-term abortion | retained placenta | metritis | orchitis in bulls,RBPT | CFT | milk ring test,No effective routine treatment in herd-control context; culling/control measures recommended in notes,Vaccination of heifers 4-8 months (per notes),Abortion storm | zoonotic exposure risk,Yes,Yes,Needs veterinary validation,Zoonotic/reportable disease. Treatment/control policies vary by country and must be replaced with official local guidance.,User-provided educational notes
VD-006,Livestock,Cattle,Parasitic/Protozoal,Babesiosis,Tick fever,Babesia bigemina,High fever | anemia | pale/yellow mucous membranes | coffee-colored urine | tick infestation,Blood smear | fever | anemia,Imidocarb dipropionate 3 mg/kg IM; antipyretic; blood transfusion if severe; source notes also mention buparvaquone,Tick control | prophylactic treatment where appropriate,Hemoglobinuria | severe anemia | collapse,No,Yes,Needs veterinary validation,"Source note mixes babesiosis therapy with buparvaquone, which is primarily used for theileriosis; veterinarian must correct before training as ground truth.",User-provided educational notes
VD-007,Livestock,Cattle,Parasitic/Protozoal,Theileriosis,,Theileria annulata,Fever | enlarged lymph nodes | anemia | dyspnea | corneal opacity | drop in milk,Lymph-node biopsy | blood smear,Buparvaquone 2.5 mg/kg IM + oxytetracycline + supportive care,Tick control,Severe anemia | respiratory distress | recumbency,No,Yes,Needs veterinary validation,Vet review required before clinical deployment,User-provided educational notes
VD-008,Livestock,Cattle,Parasitic/Protozoal,Anaplasmosis,,Anaplasma marginale,Progressive anemia | pale mucous membranes | jaundice | weight loss | source notes state no fever,Blood smear,Oxytetracycline 10 mg/kg for 5 days + imidocarb (per source notes),Tick control,Severe anemia | jaundice | collapse,No,Yes,Needs veterinary validation,Clinical presentation and treatment regimen need veterinary validation; fever can occur in acute anaplasmosis.,User-provided educational notes
VD-009,Livestock,Cattle,Parasitic/Protozoal,Gastrointestinal Parasites,GI worms,Roundworms; tapeworms,Diarrhea | weight loss | pot belly in calves | rough hair coat | anemia,Fecal egg count (FEC),Albendazole 10 mg/kg OR fenbendazole 10 mg/kg OR ivermectin 0.2 mg/kg SC (per notes),Strategic deworming; source notes say every 3 months,Severe anemia | dehydration | failure to thrive,No,No,Needs veterinary validation,"Anthelmintic choice and schedule should be parasite-, region- and resistance-guided; validate dose and withdrawal times.",User-provided educational notes
VD-010,Livestock,Cattle,Parasitic/Protozoal,Liver Fluke,,Fasciola gigantica,Bottle jaw | anemia | weight loss | ascites | decreased production,Fecal sedimentation | liver enzymes,Triclabendazole 12 mg/kg OR closantel 10 mg/kg (per notes),Snail control | avoid high-risk marshy grazing,Severe anemia | ascites,No,No,Needs veterinary validation,"Drug dose, resistance patterns and meat/milk withdrawal periods require local veterinary validation.",User-provided educational notes
VD-011,Livestock,Cattle,Metabolic,Milk Fever,Hypocalcemia,Low blood calcium after calving,Downer cow | S-shaped neck | cold extremities | bloat | muscle tremors | unconsciousness,Periparturient history | clinical signs | low blood calcium; source notes use <5 mg/dL,20% calcium borogluconate 400-500 mL IV slowly; repeat after 6-8 h if needed (per notes),Pre-calving dietary cation-anion management/anionic salts | vitamin D only under veterinary/nutrition guidance,Recumbency after calving | bloat | unconsciousness | arrhythmia risk during IV calcium,No,Yes,Needs veterinary validation,IV calcium can cause fatal arrhythmia if given improperly; administration must be veterinarian-supervised.,User-provided educational notes
VD-012,Livestock,Cattle,Metabolic,Ketosis,,Negative energy balance after calving,Drop in milk | acetone odor on breath/urine | nervous signs | licking | weight loss,Ketone testing in urine/milk | blood glucose,50% dextrose 500 mL IV + propylene glycol 250 mL orally twice daily for 5 days + glucocorticoid (per notes),Good transition diet | avoid over-conditioning,Neurologic signs | severe anorexia | concurrent displaced abomasum,No,No,Needs veterinary validation,Dose/regimen and differential diagnosis should be veterinarian-validated before clinical use.,User-provided educational notes
VD-013,Livestock,Cattle,Metabolic,Bloat,Tympany,Gas accumulation in rumen; diet-associated,Distended left flank | respiratory distress | discomfort | kicking at belly,Clinical examination | distended rumen,Stomach tube for free gas; poloxalene 25-50 g orally; antifoaming agent; trocarization in life-threatening cases,Avoid sudden access to lush legumes | feed hay before high-risk pasture,Severe respiratory distress | collapse | rapidly increasing left flank distension,No,Yes,Needs veterinary validation,Trocarization is an invasive emergency procedure for trained veterinary personnel.,User-provided educational notes
