record_id,species,disease,model_input_text,model_target_text,clinical_review_status
VD-001,Cattle,Hemorrhagic Septicemia,Species: Cattle. Disease candidate: Hemorrhagic Septicemia. Clinical signs: Sudden death | high fever 104-107°F | salivation | neck/throat swelling | dyspnea | blood-tinged nasal discharge.,Disease: Hemorrhagic Septicemia | Cause: Pasteurella multocida | Diagnosis: History | clinical signs | blood smear | culture | Treatment: Penicillin + streptomycin; sulfadiazine IV; supportive fluids and antipyretic | Prevention: HS vaccination (notes state March & September) | Emergency: Yes | Zoonotic: No.,Needs veterinary validation
VD-002,Cattle,Black Quarter,Species: Cattle. Disease candidate: Black Quarter. Clinical signs: Sudden lameness | hot painful muscle swelling | crepitation | gas | depression | death in 12-24 h.,Disease: Black Quarter | Cause: Clostridium chauvoei | Diagnosis: Clinical signs | swollen muscle | gas | smear | Treatment: High-dose penicillin + antitoxin; surgical debridement; prognosis may be poor | Prevention: BQ vaccination | Emergency: Yes | Zoonotic: No.,Needs veterinary validation
VD-003,Cattle,Foot and Mouth Disease,Species: Cattle. Disease candidate: Foot and Mouth Disease. Clinical signs: Fever | salivation | vesicles in mouth/tongue/feet | lameness | drop in milk | smacking lips.,Disease: Foot and Mouth Disease | Cause: FMD virus | Diagnosis: Clinical signs | vesicular fluid | ELISA | Treatment: No specific antiviral; symptomatic care; antiseptic mouth care; soft feed; foot care; antibiotics only for secondary bacterial infection | Prevention: FMD vaccination every 6 months (per notes) | Emergency: Yes | Zoonotic: No.,Needs veterinary validation
VD-004,Cattle,Mastitis,Species: Cattle. Disease candidate: Mastitis. Clinical signs: Hot painful swollen udder | abnormal milk with clots/watery/blood | fever.,Disease: Mastitis | Cause: Staphylococcus aureus; Streptococcus spp.; Escherichia coli | Diagnosis: California Mastitis Test (CMT) | milk culture | somatic cell count (SCC) | Treatment: Intramammary antibiotics + systemic antibiotics when indicated + anti-inflammatory therapy + frequent milking | Prevention: Milking hygiene | teat dip | dry-cow therapy | Emergency: Yes | Zoonotic: No.,Needs veterinary validation
VD-005,Cattle,Brucellosis,Species: Cattle. Disease candidate: Brucellosis. Clinical signs: Late-term abortion | retained placenta | metritis | orchitis in bulls.,Disease: Brucellosis | Cause: Brucella abortus | Diagnosis: RBPT | CFT | milk ring test | Treatment: No effective routine treatment in herd-control context; culling/control measures recommended in notes | Prevention: Vaccination of heifers 4-8 months (per notes) | Emergency: Yes | Zoonotic: Yes.,Needs veterinary validation
VD-006,Cattle,Babesiosis,Species: Cattle. Disease candidate: Babesiosis. Clinical signs: High fever | anemia | pale/yellow mucous membranes | coffee-colored urine | tick infestation.,Disease: Babesiosis | Cause: Babesia bigemina | Diagnosis: Blood smear | fever | anemia | Treatment: Imidocarb dipropionate 3 mg/kg IM; antipyretic; blood transfusion if severe; source notes also mention buparvaquone | Prevention: Tick control | prophylactic treatment where appropriate | Emergency: Yes | Zoonotic: No.,Needs veterinary validation
VD-007,Cattle,Theileriosis,Species: Cattle. Disease candidate: Theileriosis. Clinical signs: Fever | enlarged lymph nodes | anemia | dyspnea | corneal opacity | drop in milk.,Disease: Theileriosis | Cause: Theileria annulata | Diagnosis: Lymph-node biopsy | blood smear | Treatment: Buparvaquone 2.5 mg/kg IM + oxytetracycline + supportive care | Prevention: Tick control | Emergency: Yes | Zoonotic: No.,Needs veterinary validation
VD-008,Cattle,Anaplasmosis,Species: Cattle. Disease candidate: Anaplasmosis. Clinical signs: Progressive anemia | pale mucous membranes | jaundice | weight loss | source notes state no fever.,Disease: Anaplasmosis | Cause: Anaplasma marginale | Diagnosis: Blood smear | Treatment: Oxytetracycline 10 mg/kg for 5 days + imidocarb (per source notes) | Prevention: Tick control | Emergency: Yes | Zoonotic: No.,Needs veterinary validation
VD-009,Cattle,Gastrointestinal Parasites,Species: Cattle. Disease candidate: Gastrointestinal Parasites. Clinical signs: Diarrhea | weight loss | pot belly in calves | rough hair coat | anemia.,Disease: Gastrointestinal Parasites | Cause: Roundworms; tapeworms | Diagnosis: Fecal egg count (FEC) | Treatment: Albendazole 10 mg/kg OR fenbendazole 10 mg/kg OR ivermectin 0.2 mg/kg SC (per notes) | Prevention: Strategic deworming; source notes say every 3 months | Emergency: No | Zoonotic: No.,Needs veterinary validation
VD-010,Cattle,Liver Fluke,Species: Cattle. Disease candidate: Liver Fluke. Clinical signs: Bottle jaw | anemia | weight loss | ascites | decreased production.,Disease: Liver Fluke | Cause: Fasciola gigantica | Diagnosis: Fecal sedimentation | liver enzymes | Treatment: Triclabendazole 12 mg/kg OR closantel 10 mg/kg (per notes) | Prevention: Snail control | avoid high-risk marshy grazing | Emergency: No | Zoonotic: No.,Needs veterinary validation
